especie,conta
João-de-barro (Furnarius rufus),34
Carcará (Caracara plancus) ,22
Sabiá do campo (Mimus saturninus),20
Sabiá laranjeira (Turdus rufiventris),19
Beija-flor-tesoura (Eupetomena macroura),17
Periquito-de-encontro-amarelo (Brotogeris chiriri),17
Quero-quero (Vanellus chilensis),17
Bem-te-vi (Pitangus sulphuratus),16
Canário-da-terra (Sicalis flaveola),16
Pomba-asa-branca ( Patagioenas picazuro),15
Suiriri (Tyrannus melancholicus),15
Cambacica (Coereba flaveola),13
Urubu comum (Coragyps atratus),13
Tesourinha (Tyrannus savana),12
Coruja buraqueira (Athene cunicularia),9
Fogo-apagou (Scardafella squamata),9
Garrinchão de barriga vermelha (Cantorchilus leucotis),9
Pombo doméstico (Columba livia),9
Avoante (Zenaida auriculata),8
Príncipe (Pyrocephalus rubinus),8
Tiziu (Volatinia jacarina),8
Balança rabo mascarado (Polioptila dumicola),7
Bandoleta (Cypsnagra hirundinacea),6
Corruíra (Troglodytes musculus),6
Curicaca (Theristicus caudatus),6
Garça branca grande (Ardea alba),6
Gavião caramujeiro (Rostrhamus sociabilis),6
Guaracava-de-barriga-amarela (Elaenia flavogaster),6
Pitiguari (Cyclarhis gujanensis ),6
Saíra amarela (Tangara cayana),6
Andorinhão do buriti (Tachornis squamata),5
Anu preto (Crotophaga ani),5
Arapaçu-do-Cerrado (Lepidocolaptes angustirostris),5
Bem-te-vi de chapéu (Griseotyrannus aurantioatrocristatus),5
Primavera (Xolmis cinereus),5
Risadinha (Camptostoma obsoletum),5
Rolinha-caldo-de-feijão (Columbina talpacoti),5
Suiriri-cinzento (Suiriri suiriri),5
Alma de gato (Piaya cayana),4
Andorinha pequena (Notiochelidon cyanoleuca),4
Anu-branco (Gira gira),4
Beija-flor-de-garganta-verde (Amazilia fimbriata),4
Biguá (Phalacrocorax brasilianus),4
Coleirinho (Sporophila caerulescens),4
Maria-é-dia (Elaenia flavogaster),4
Pica-pau-carijó (Colaptes melanochloros),4
Sabiá-poca (Turdus amaurochalinus),4
Savacu (Nycticorax nycticorax),4
Soldadinho (Antilophia galeata),4
Tico-tico (Zonotrichia capensis),4
Andorinha serradora (Stelgidopteryx ruficollis),3
Arara-canindé (Ara ararauna),3
Falcão-de-coleira (Falco femoralis),3
Gavão Carrapateiro (Milvago chimachima),3
Iraúna-grande (Molothrus oryzivorus),3
Martim-pescador,3
Rolinha-cascavel (Columbina squammata),3
Saí azul (Dacnis cayana),3
Ariramba-de-cauda-ruiva (Galbula ruficauda),2
Baianinho (Sporophila nigricollis),2
Bem-te-vi-rajado (Mylodynastes maculatus),2
Bico-de-lacre,2
Choca-de-asa-verelha (Thamnophilus torquatus),2
Curruíra (Troglodytes aedon),2
Gavião-casaca-de-couro (Heterospizias meridionalis),2
Gavião-carijó (Rupornis magnirostris),2
Juriti pupu (Leptotila sp),2
Martim-pescador-grande (Megaceryle torquata),2
Papagaio galego (Alipiopsitta xanthops),2
Petrim (Synallaxis frontalis),2
Pica-pau-anão (Picumnus cirratus),2
Pica-pau-branco (Leuconerpes candidus),2
Pica-pau-do-campo (Colaptes campestris),2
Sanhaçu-cinzento (Tangara sayaca),2
Suiriri-da-chapada (Suiriri affinis) ,2
Suiriri-cavaleiro (Machetornis rixosa),2
Viuvinha (Colonia colonus),2
Basileuterus hypoleucos,1
Beija flor de orelha violeta (Colibri serrirostris),1
Bico-chato-amarelo (Tolmomyias flaviventris),1
Bico-chato-de-orelha-preta (Tolmomyias sulphurescens),1
Cardeal-do-nordeste (Paroaria dominicana),1
Chibum (Elaenia chiriquensis),1
Chorozinho-de-bico-comprido (Herpsilocus longirostris),1
Chupim (Molothrus bonariensis),1
Encontro (Icterus pyrrhhopterus),1
Euphonia sp,1
Felipe (Myiphobus fasciatus),1
Fim-fim (Euphonia chlorotica),1
Gavião-peneira (Elanus leucurus),1
Guaracava-de-topete-uniforme (Elaenia cristata),1
Inhambu-chororó (Crypturellus parvirostris),1
Martim-pescador-verde (Chloroceryle amazona),1
Maria cavaleira do rabo enferujado (Myiarchus tyrannulus),1
Myarchus sp,1
Neinei (Megarynchus pitangua),1
Papagaio verdadeiro (Amazona aestiva),1
Patinho (Platytinchus mystaceus),1
Peitica (Empidonomus varius),1
Periquitão-maracanã (Psittacara leucophthalma),1
Periquito-de-asa-amarela (Brotogeris versicolurus),1
Periquito-rico (Brotogeris tirica),1
Pica-pau-verde (Picus viridis),1
Pula-pula amarelo (Basileuterus flaveolus),1
Pula-pula (Basileuterus culicivorus),1
Rolinha-roxa (Columbina talpacoti),1
Sabiá-do-barranco (Turdus leucomelas),1
Saí-andorinha (Tersina viridis ),1
Saíra-azul,1
Saracura (Aramides cajaneus),1
Tico-tico-de-bico-amarelo (Arremon flavirostris),1
Tico-tico-rei (Coryphospingus cucullatus),1
Tuim (Forpus Xanthopterygius),1
Verdinho-de-olho-cinza (Hylophilus amaurocephalus),1